address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
Wildwood Dr,LOS ANGELES,CA,90041,,3129.0,3.0,3.0,15.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/154091835_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Westdale Ave,LOS ANGELES,CA,90041,,704.0,2.0,1.0,155.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/244074852_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
College View Ave APT 7,Los Angeles,CA,90041,,1246.0,3.0,3.0,74.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/250784448_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Fair Park Ave,LOS ANGELES,CA,90041,,1458.0,3.0,1.0,204.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/246622904_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Hill Dr,Los Angeles,CA,90041,,4851.0,5.0,5.0,135.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/135798296_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Oak Tree Dr,LOS ANGELES,CA,90041,,811.0,2.0,1.0,284.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/247461562_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Yosemite Dr,LOS ANGELES,CA,90041,,1585.0,3.0,2.0,184.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/247598936_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Loy Ln,LOS ANGELES,CA,90041,,1102.0,3.0,1.0,172.0,Pre-foreclosure / Auction,"http://www.zillow.com/homes/for_sale/247704771_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Lockhaven Ave,LOS ANGELES,CA,90041,,1617.0,3.0,2.0,253.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/248077211_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Oak Grove Pl,LOS ANGELES,CA,90041,,1020.0,4.0,2.0,162.0,Pre-foreclosure,"http://www.zillow.com/homes/for_sale/249614310_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
